rank, city, state, pop_2014, pop_2010, change, land_area, density, lat, lon
149 , Springfield , Missouri , 165378 , 159498 , +3.69 , 81.7 , 1952 , 37.1942, -93.2913
150 , Pembroke Pines , Florida , 164626 , 154019 , +6.89 , 33.1 , 4672 , 26.0212, -80.3404
151 , Elk Grove , California , 163553 , 153015 , +6.89 , 42.2 , 3627 , 38.4144, -121.3849
152 , Salem , Oregon , 161637 , 154637 , +4.53 , 47.9 , 3229 , 44.9237, -123.0231
153 , Corona , California , 161486 , 152374 , +5.98 , 38.8 , 3925 , 33.8624, -117.5639
154 , Lancaster , California , 161043 , 156633 , +2.82 , 94.3 , 1661 , 34.6936, -118.1753
155 , Eugene , Oregon , 160561 , 156185 , +2.80 , 43.7 , 3572 , 44.0567, -123.1162
156 , Palmdale , California , 158279 , 152750 , +3.62 , 106.0 , 1442 , 34.5913, -118.109
157 , McKinney , Texas , 156767 , 131117 , +19.56 , 62.2 , 2108 , 33.2012, -96.668
158 , Salinas , California , 156677 , 150441 , +4.15 , 23.2 , 6490 , 36.6902, -121.6337
159 , Fort Collins , Colorado , 156480 , 143986 , +8.68 , 54.3 , 2653 , 40.5482, -105.0648
160 , Cary , North Carolina , 155227 , 135234 , +14.78 , 54.3 , 2488 , 35.7821, -78.8141
161 , Hayward , California , 154612 , 144186 , +7.23 , 45.3 , 3181 , 37.6281, -122.1063
162 , Springfield , Massachusetts , 153991 , 153060 , +0.61 , 31.9 , 4803 , 42.1155, -72.54
163 , Pasadena , Texas , 153887 , 149043 , +3.25 , 42.8 , 3485 , 29.6583, -95.1505
164 , Macon , Georgia , 153691 , 91351 , +68.24 , 255.1 , 614 , 32.505, -83.396
165 , Pomona , California , 153350 , 149058 , +2.88 , 23.0 , 6494 , 34.0586, -117.7613
166 , Alexandria , Virginia , 150575 , 139966 , +7.58 , 15.0 , 9314 , 38.8183, -77.082
167 , Escondido , California , 150243 , 143911 , +4.40 , 36.8 , 3909 , 33.1336, -117.0732
168 , Sunnyvale , California , 149980 , 140081 , +7.07 , 22.0 , 6371 , 37.3858, -122.0263
169 , Lakewood , Colorado , 149643 , 142980 , +4.66 , 42.9 , 3334 , 39.6989, -105.1176
170 , Kansas City , Kansas , 149636 , 145786 , +2.64 , 124.8 , 1168 , 39.1225, -94.7418
171 , Rockford , Illinois , 149123 , 152871 , −2.45 , 61.1 , 2503 , 42.2634, -89.0628
172 , Torrance , California , 148495 , 145438 , +2.10 , 20.5 , 7102 , 33.8350, -118.3414
173 , Hollywood , Florida , 148047 , 140768 , +5.17 , 27.4 , 5144 , 26.0311, -80.1646
174 , Joliet , Illinois , 147928 , 147433 , +0.34 , 62.1 , 2374 , 41.5181, -88.1584
175 , Bridgeport , Connecticut , 147612 , 144229 , +2.35 , 16.0 , 9029 , 41.1874, -73.1957
176 , Clarksville , Tennessee , 146806 , 132929 , +10.44 , 97.6 , 1362 , 36.5664, -87.3452
177 , Paterson , New Jersey , 146753 , 146199 , +0.38 , 8.4 , 17346 , 40.9147, -74.1628
178 , Naperville , Illinois , 146128 , 141853 , +3.01 , 38.8 , 3659 , 41.7492, -88.162
179 , Frisco , Texas , 145035 , 116989 , +23.97 , 61.8 , 1893 , 33.1510, -96.8193
180 , Mesquite , Texas , 144416 , 139824 , +3.28 , 46.0 , 3038 , 32.7639, -96.5924
181 , Savannah , Georgia , 144352 , 136286 , +5.92 , 103.2 , 1321 , 32.0025, -81.1536
182 , Syracuse , New York , 144263 , 145170 , −0.62 , 25.0 , 5797 , 43.0410, -76.1436
183 , Dayton , Ohio , 141003 , 141527 , −0.37 , 55.7 , 2543 , 39.7774, -84.1996
184 , Pasadena , California , 140881 , 137122 , +2.74 , 23.0 , 5970 , 34.1606, -118.1396
185 , Orange , California , 139812 , 136416 , +2.49 , 24.8 , 5501 , 33.8048, -117.8249
186 , Fullerton , California , 139677 , 135161 , +3.34 , 22.4 , 6047 , 33.8857, -117.928
187 , McAllen , Texas , 138596 , 129877 , +6.71 , 48.3 , 2687 , 26.2185, -98.2461
188 , Killeen , Texas , 138154 , 127921 , +8.00 , 53.6 , 2387 , 31.0777, -97.732
189 , Hampton , Virginia , 136879 , 137436 , −0.41 , 51.4 , 2673 , 37.0480, -76.2971
190 , Bellevue , Washington , 136426 , 122363 , +11.49 , 32.0 , 3828 , 47.5978, -122.1565
191 , Warren , Michigan , 135099 , 134056 , +0.78 , 34.4 , 3899 , 42.4929, -83.025
192 , Miramar , Florida , 134989 , 122041 , +10.61 , 29.5 , 4134 , 25.9770, -80.3358
193 , West Valley City , Utah , 134495 , 129480 , +3.87 , 35.6 , 3642 , 40.6885, -112.0118
194 , Olathe , Kansas , 133062 , 125872 , +5.71 , 59.7 , 2110 , 38.8843, -94.8188
195 , Columbia , South Carolina , 132067 , 129272 , +2.16 , 132.2 , 978 , 34.0298, -80.8966
196 , Sterling Heights , Michigan , 131741 , 129699 , +1.57 , 36.5 , 3553 , 42.5812, -83.0303
197 , Thornton , Colorado , 130307 , 118772 , +9.71 , 34.8 , 3409 , 39.9180, -104.9454
198 , New Haven , Connecticut , 130282 , 129779 , +0.39 , 18.7 , 6948 , 41.3108, -72.925
199 , Waco , Texas , 130194 , 124805 , +4.32 , 89.0 , 1403 , 31.5601, -97.186
200 , Charleston , South Carolina , 130113 , 120083 , +8.35 , 109.0 , 1102 , 32.8179, -79.9589
201 , Thousand Oaks , California , 129342 , 126683 , +2.10 , 55.0 , 2302 , 34.1933, -118.8742
202 , Visalia , California , 129281 , 124442 , +3.89 , 36.2 , 3433 , 36.3272, -119.3234
203 , Cedar Rapids , Iowa , 129195 , 126326 , +2.27 , 70.8 , 1784 , 41.9670, -91.6778
204 , Elizabeth , New Jersey , 128705 , 124969 , +2.99 , 12.3 , 10144 , 40.6663, -74.1935
205 , Roseville , California , 128615 , 118788 , +8.27 , 36.2 , 3279 , 38.7657, -121.3032
206 , Gainesville , Florida , 128460 , 124354 , +3.30 , 61.3 , 2028 , 29.6788, -82.3459
207 , Carrollton , Texas , 128353 , 119097 , +7.77 , 36.3 , 3281 , 32.9884, -96.8998
208 , Stamford , Connecticut , 128278 , 122643 , +4.59 , 37.6 , 3258 , 41.0799, -73.546
209 , Denton , Texas , 128205 , 113383 , +13.07 , 88.0 , 1289 , 33.2151, -97.1417
210 , Midland , Texas , 128037 , 111147 , +15.20 , 72.1 , 1542 , 32.0299, -102.1097
211 , Coral Springs , Florida , 127952 , 121096 , +5.66 , 23.8 , 5090 , 26.2708, -80.2593
212 , Concord , California , 127522 , 122067 , +4.47 , 30.5 , 3996 , 37.9722, -122.0016
213 , Topeka , Kansas , 127215 , 127473 , −0.20 , 60.2 , 2119 , 39.0362, -95.6948
214 , Simi Valley , California , 126871 , 124237 , +2.12 , 41.5 , 2995 , 34.2669, -118.7485
215 , Surprise , Arizona , 126275 , 117517 , +7.45 , 105.7 , 1111 , 33.6706, -112.4527
216 , Lafayette , Louisiana , 126066 , 120623 , +4.51 , 49.2 , 2450 , 30.2116, -92.0314
217 , Kent , Washington , 125560 , 92411 , +35.87 , 28.6 , 3228 , 47.3853, -122.2169
218 , Hartford , Connecticut , 124705 , 124775 , −0.06 , 17.4 , 7179 , 41.7660, -72.6833
219 , Santa Clara , California , 122192 , 116468 , +4.91 , 18.4 , 6327 , 37.3646, -121.9679
220 , Victorville , California , 121901 , 115903 , +5.18 , 73.2 , 1584 , 34.5277, -117.3536
221 , Abilene , Texas , 120958 , 117063 , +3.33 , 106.8 , 1096 , 32.4545, -99.7381
222 , Murfreesboro , Tennessee , 120954 , 108755 , +11.22 , 55.3 , 1965 , 35.8522, -86.4161
223 , Evansville , Indiana , 120346 , 117429 , +2.48 , 44.2 , 2660 , 37.9877, -87.5347
224 , Vallejo , California , 120228 , 115942 , +3.70 , 30.7 , 3780 , 38.1079, -122.2639
225 , Athens , Georgia , 119648 , 115452 , +3.63 , 116.4 , 992 , 33.9496, -83.3701
226 , Allentown , Pennsylvania , 119104 , 118032 , +0.91 , 17.5 , 6727 , 40.5940, -75.4782
227 , Berkeley , California , 118853 , 112580 , +5.57 , 10.5 , 10752 , 37.8667, -122.2991
228 , Norman , Oklahoma , 118040 , 110925 , +6.41 , 178.8 , 621 , 35.22, -97.44
229 , Ann Arbor , Michigan , 117770 , 113934 , +3.37 , 27.8 , 4094 , 42.2756, -83.7313
230 , Beaumont , Texas , 117585 , 118296 , −0.60 , 82.8 , 1429 , 30.0843, -94.1458
231 , Independence , Missouri , 117494 , 116830 , +0.57 , 77.6 , 1506 , 39.0853, -94.3513
232 , Columbia , Missouri , 116906 , 108500 , +7.75 , 63.1 , 1720 , 38.9479, -92.3261
233 , Springfield , Illinois , 116809 , 116250 , +0.48 , 59.5 , 1954 , 39.7639, -89.6708
234 , El Monte , California , 116631 , 113475 , +2.78 , 9.6 , 11867 , 34.0746, -118.0291
235 , Fargo , North Dakota , 115863 , 105549 , +9.77 , 48.8 , 2162 , 46.8652, -96.829
236 , Peoria , Illinois , 115828 , 115007 , +0.71 , 48.0 , 2396 , 40.7523, -89.6171
237 , Provo , Utah , 114801 , 112488 , +2.06 , 41.7 , 2699 , 40.2453, -111.6448
238 , Lansing , Michigan , 114620 , 114297 , +0.28 , 36.0 , 3171 , 42.7098, -84.5562
239 , Odessa , Texas , 114597 , 99940 , +14.67 , 42.0 , 2382 , 31.8804, -102.3434
240 , Downey , California , 114172 , 111772 , +2.15 , 12.4 , 9008 , 33.9382, -118.1309
241 , Wilmington , North Carolina , 113657 , 106476 , +6.74 , 51.5 , 2068 , 34.2092, -77.8858
242 , Arvada , Colorado , 113574 , 106433 , +6.71 , 35.1 , 3029 , 39.8097, -105.1066
243 , Costa Mesa , California , 112784 , 109960 , +2.57 , 15.7 , 7025 , 33.6659, -117.9123
244 , Round Rock , Texas , 112744 , 99887 , +12.87 , 34.1 , 2928 , 30.5237, -97.6674
245 , Carlsbad , California , 112299 , 105328 , +6.62 , 37.7 , 2792 , 33.1239, -117.2828
246 , Miami Gardens , Florida , 112265 , 107167 , +4.76 , 18.2 , 5878 , 25.9489, -80.2436
247 , Westminster , Colorado , 112090 , 106114 , +5.63 , 31.6 , 3363 , 39.8822, -105.0644
248 , Inglewood , California , 111905 , 109673 , +2.04 , 9.1 , 12095 , 33.9561, -118.3443
249 , Rochester , Minnesota , 111402 , 106769 , +4.34 , 54.6 , 1956 , 44.0154, -92.4772
250 , Fairfield , California , 111125 , 105321 , +5.51 , 37.4 , 2817 , 38.2568, -122.0397
251 , Elgin , Illinois , 111117 , 108188 , +2.71 , 37.2 , 2911 , 42.0396, -88.3217
252 , West Jordan , Utah , 110920 , 103712 , +6.95 , 32.5 , 3195 , 40.6023, -112.001
253 , Clearwater , Florida , 110703 , 107685 , +2.80 , 25.6 , 4213 , 27.9795, -82.7663
254 , Manchester , New Hampshire , 110448 , 109565 , +0.81 , 33.1 , 3310 , 42.9847, -71.4439
255 , Lowell , Massachusetts , 109945 , 106519 , +3.22 , 13.6 , 7842 , 42.6389, -71.3221
256 , Gresham , Oregon , 109892 , 105594 , +4.07 , 23.2 , 4551 , 45.5023, -122.4416
257 , Cambridge , Massachusetts , 109694 , 105162 , +4.31 , 6.4 , 16469 , 42.3760, -71.1183
258 , Ventura , California , 109484 , 106433 , +2.87 , 21.7 , 4915 , 34.2681, -119.255
259 , Temecula , California , 109428 , 100097 , +9.32 , 30.2 , 3320 , 33.5019, -117.1246
260 , Waterbury , Connecticut , 109307 , 110366 , −0.96 , 28.5 , 3870 , 41.5585, -73.0367
261 , Antioch , California , 108930 , 102372 , +6.41 , 28.3 , 3611 , 37.9775, -121.7976
262 , Billings , Montana , 108869 , 104170 , +4.51 , 43.4 , 2399 , 45.7895, -108.5499
263 , High Point , North Carolina , 108629 , 104371 , +4.08 , 53.8 , 1940 , 35.9855, -79.9902
264 , Richardson , Texas , 108617 , 99223 , +9.47 , 28.6 , 3474 , 32.9723, -96.7081
265 , Richmond , California , 108565 , 103701 , +4.69 , 30.1 , 3449 , 37.9530, -122.3594
266 , West Covina , California , 108455 , 106098 , +2.22 , 16.0 , 6614 , 34.0559, -117.9099
267 , Pueblo , Colorado , 108423 , 106595 , +1.71 , 53.6 , 1987 , 38.2731, -104.6124
268 , Murrieta , California , 108368 , 103466 , +4.74 , 33.6 , 3081 , 33.5719, -117.1907
269 , Centennial , Colorado , 107201 , 100377 , +6.80 , 28.7 , 3495 , 39.5906, -104.8691
270 , Norwalk , California , 107096 , 105549 , +1.47 , 9.7 , 10873 , 33.9069, -118.0834
271 , North Charleston , South Carolina , 106749 , 97471 , +9.52 , 76.6 , 1393 , 32.8853, -80.0169
272 , Everett , Washington , 106736 , 103019 , +3.61 , 33.4 , 3080 , 48.0033, -122.1742
273 , Pompano Beach , Florida , 106105 , 99845 , +6.27 , 24.0 , 4160 , 26.2426, -80.129
274 , Daly City , California , 106094 , 101123 , +4.92 , 7.7 , 13195 , 37.7009, -122.465
275 , Palm Bay , Florida , 105838 , 103190 , +2.57 , 65.7 , 1571 , 27.9856, -80.6626
276 , Burbank , California , 105368 , 103340 , +1.96 , 17.3 , 5959 , 34.1890, -118.3249
277 , Wichita Falls , Texas , 105114 , 104553 , +0.54 , 72.1 , 1449 , 33.9067, -98.5259
278 , Boulder , Colorado , 105112 , 97385 , +7.93 , 25.7 , 3947 , 40.0175, -105.2797
279 , Green Bay , Wisconsin , 104891 , 104057 , +0.80 , 45.5 , 2289 , 44.5207, -87.9842
280 , Broken Arrow , Oklahoma , 104726 , 98850 , +5.94 , 61.6 , 1605 , 36.0365, -95.781
281 , West Palm Beach , Florida , 104031 , 99919 , +4.12 , 55.3 , 1807 , 26.7483, -80.1266
282 , College Station , Texas , 103483 , 93857 , +10.26 , 49.6 , 1978 , 30.6013, -96.3144
283 , Pearland , Texas , 103441 , 91252 , +13.36 , 47.5 , 1900 , 29.5544, -95.2958
284 , Santa Maria , California , 103410 , 99553 , +3.87 , 22.8 , 4375 , 34.9332, -120.4438
285 , El Cajon , California , 103091 , 99478 , +3.63 , 14.4 , 6892 , 32.8017, -116.9605
286 , San Mateo , California , 102893 , 97207 , +5.85 , 15.9 , 8014 , 37.5542, -122.3131
287 , Lewisville , Texas , 102889 , 95290 , +7.97 , 42.5 , 2618 , 33.0383, -97.0061
288 , Rialto , California , 102741 , 99171 , +3.60 , 22.4 , 4437 , 34.1118, -117.3883
289 , Davenport , Iowa , 102448 , 99685 , +2.77 , 62.9 , 1584 , 41.5541, -90.604
290 , Lakeland , Florida , 102346 , 97422 , +5.05 , 74.4 , 1711 , 28.0411, -81.9589
291 , Clovis , California , 102189 , 95631 , +6.86 , 23.3 , 4386 , 36.4931, -119.4211
292 , Edison , New Jersey , 101970 , 99967 , +2.00 , 30.6 , 3339.0 , 40.5040, -74.3494
293 , Sandy Springs , Georgia , 101908 , 93853 , +8.58 , 39.0 , 2613.0 , 33.5615, -84.227
294 , Tyler , Texas , 101421 , 96900 , +4.67 , 54.4 , 1782 , 32.35, -95.3
295 , Las Cruces , New Mexico , 101408 , 97618 , +3.88 , 76.3 , 1279 , 32.3197, -106.7653
296 , South Bend , Indiana , 101190 , 101168 , +0.02 , 41.5 , 2440 , 41.6769, -86.269
297 , Woodbridge , New Jersey , 100824 , 99585 , +1.24 , 24.5 , 4290.0 , 40.5608, -74.2926
